feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Paraclostridium	Treatment	Exposed	-5.24346684539582	0.535571582637599	35	23	2.74426692591452e-11	4.33594174294495e-09
Barnesiellaceae.Genus	Treatment	Exposed	-6.13986350508349	0.721576492343486	35	26	7.83248812727699e-10	6.18766562054882e-08
Aeromonas	Treatment	Exposed	2.52578403001694	0.471832118108893	35	34	6.50612548040314e-06	0.000316764412213617
ZOR0006	Treatment	Exposed	-4.52281386712295	0.856211964443439	35	30	8.01935220793967e-06	0.000316764412213617
Flavobacterium	Treatment	Exposed	4.59340705645331	0.974334076735566	35	18	4.2690049824722e-05	0.00134900557446122
Verrucomicrobiae.Genus	Treatment	Exposed	-1.76972809462983	0.419849222763312	35	10	0.00018196632310858	0.00479177984185927
Chitinibacteraceae.Genus	Treatment	Exposed	-2.33037546642411	0.572471667409994	35	21	0.00027513349222865	0.00621015596744667
Shinella	Treatment	Exposed	-1.59754713651675	0.439587638074099	35	9	0.000937785725801002	0.0185212680845698
Mycoplasma	Treatment	Exposed	-2.85428663923846	0.814175710095766	35	11	0.00133439212921946	0.0234259951574084
Pseudorhodobacter	Treatment	Exposed	1.72855375491815	0.503306516113556	35	10	0.00162010971686779	0.025597733526511
Nocardia	Treatment	Exposed	-1.74708306558152	0.524992427364453	35	18	0.00215900969837734	0.0310112302130563
Citrobacter	Treatment	Exposed	-1.97157875617815	0.601887387809973	35	24	0.00248179747842557	0.0326770001326033
Gammaproteobacteria.Genus	Treatment	Exposed	3.94074525631209	1.27066691217695	35	25	0.00392898808667071	0.0477523167456902
Cetobacterium	Treatment	Exposed	-2.6871010870796	0.883599497101868	35	32	0.00459390780289348	0.0518455309183693
Shewanella	Treatment	Exposed	-1.66328708703764	0.556107212519305	35	29	0.00522726474220297	0.0550605219512047
Gordonia	Treatment	Exposed	-2.22866278311446	0.760987119161228	35	27	0.00612935212712988	0.0605273522554076
Burkholderiaceae.Genus	Treatment	Exposed	-1.66510497461172	0.587698750343487	35	29	0.00779881268502513	0.0724830826019983
Plesiomonas	Treatment	Exposed	-1.31673703126601	0.507849334052296	35	30	0.014081124166944	0.118679276098925
ASV135	Treatment	Exposed	0.723637202144827	0.282032799079066	35	6	0.0150226931770791	0.118679276098925
Faecalibaculum	Treatment	Exposed	-0.425215918758696	0.16537233782795	35	5	0.0148271291434473	0.118679276098925
Chitinibacter	Treatment	Exposed	2.10778036408645	0.84021173842706	35	10	0.017211905191821	0.129499096205129
Pseudochrobactrum	Treatment	Exposed	-1.20497892887471	0.496040824471375	35	9	0.0207413636049221	0.148960702253532
Vibrio	Treatment	Exposed	1.65818955217727	0.688785126458056	35	8	0.0218183186930372	0.14921421977563
Fluviicola	Treatment	Exposed	-1.50168052614437	0.628066984837284	35	5	0.022665451105159	0.14921421977563
Pseudomonas	Treatment	Exposed	2.62515921378408	1.14156191078614	35	21	0.0279337955245901	0.169751526649432
Exiguobacterium	Treatment	Exposed	-1.17683564897509	0.508690332878926	35	6	0.0270701883500084	0.169751526649432
Crenobacter	Treatment	Exposed	-1.40569819924271	0.645831313539772	35	29	0.0367706443149862	0.215176363028438
Lactobacillus	Treatment	Exposed	-0.43714342119688	0.209383065592778	35	4	0.0446164391262048	0.251764192212156
Obscuribacterales.Genus	Treatment	Exposed	1.73937152769373	0.842614121044953	35	9	0.0469270056332227	0.255671272070662
Clostridium_sensu_stricto_9	Treatment	Exposed	-0.550224773300947	0.278207959540305	35	5	0.0563580767061754	0.296819203985857
Acinetobacter	Treatment	Exposed	1.77991074451156	0.911240230564227	35	18	0.0593081030474203	0.3022800090804
Candidatus_Protochlamydia	Treatment	Exposed	1.06517983835085	0.555369568745258	35	11	0.0638031930213218	0.306081159863761
Rhodopseudomonas	Treatment	Exposed	1.34212133588711	0.700110464928523	35	6	0.0639283435158488	0.306081159863761
