feature	Cetobacterium	Aeromonas	Plesiomonas	Barnesiellaceae.Genus	Vibrio	ZOR0006	Mycoplasma	Staphylococcus	Mycobacterium	Acinetobacter	Gordonia	Crenobacter	Shewanella	Gammaproteobacteria.Genus	Paraclostridium	Pseudomonas	Flavobacterium	Burkholderiaceae.Genus	Paucibacter	Phreatobacter	Nocardia	Gemmataceae.Genus	Pseudorhodobacter	Bosea	Rhizobiales_Incertae_Sedis.Genus	Rhizobiales.Genus	Brevibacterium	Glutamicibacter	Chitinibacter	Chitinibacteraceae.Genus	Gemmobacter	Beijerinckiaceae.Genus	Citrobacter	Obscuribacterales.Genus	Rhodobacter	Exiguobacterium	Betaproteobacteriales_Incertae_Sedis.Genus	Fluviicola	Defluviimonas	Luteimonas	Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium	Pseudorhodoplanes	Pseudochrobactrum	Rhodococcus	Singulisphaera	Ensifer	Candidatus_Protochlamydia	Reyranella	Geobacillus	Tabrizicola	Microscillaceae.Genus	Shinella	Smaragdicoccus	Verrucomicrobiae.Genus	Simkaniaceae.Genus	Parachlamydiaceae.Genus	Fimbriiglobus	Chlamydiales.Genus	env.OPS_17.Genus	Unknown_Family.Genus	Meiothermus	PeM15.Genus	Delftia	Rhodopseudomonas	Mesorhizobium	Rhizobiaceae.Genus	Aquicella	SH.PL14	ASV131	Dinghuibacter	Deltaproteobacteria.Genus	ASV135	Pedosphaeraceae.Genus	Desulfarculaceae.Genus	Legionella	Enterococcus	Candidatus_Alysiosphaera	Pir4_lineage	Coxiella	Planctomycetales.Genus	Pirellula	Prevotella_7	Bacteria.Genus	Streptococcus	Candidatus_Ovatusbacter	ASV163	X67.14.Genus	ASV169	Thermus	Flavihumibacter	Proteobacteria.Genus	Faecalibaculum	Sphingomonadaceae.Genus	Brucella	Iamia	Clostridium_sensu_stricto_9	Gemmata	Saprospiraceae.Genus	Afipia	Deinococcus	Rubrivivax	Babeliaceae.Genus	Rhodovastum	Pedomicrobium	Nakamurella	Caedibacter	CL500.3	Chitinophagaceae.Genus	Candidatus_Finniella	Cellvibrio	Leucobacter	ASV246	Candidatus_Megaira	Cytophagales.Genus	Romboutsia	Vampirovibrionales.Genus	cvE6.Genus	Hydrogenophaga	Stenotrophomonas	Veillonella	Azospira	RCP2.54.Genus	Prevotella_6	IMCC26207	Ottowia	Chryseobacterium	Fusobacterium	Roseomonas	Xylophilus	Ideonella	Bdellovibrio	ASV323	Lachnospiraceae_NK4A136_group	Verrucomicrobiaceae.Genus	Rickettsia	Gaiellales.Genus	Prevotella	Herpetosiphon	Leptotrichia	X0319.6G20.Genus	Haemophilus	Thermoanaerobacterium	ASV385	Paracoccus	Lactobacillus	Blfdi19.Genus	Candidatus_Paracaedibacter	Alloprevotella	Corynebacterium_1	Myxococcales.Genus	Hyphomicrobium	Rothia	Muribaculaceae.Genus	Gemella	Babeliales.Genus	Paracaedibacteraceae.Genus	Lacunisphaera	Scardovia
ISF319	44619	5207	769	214	26	519	0	0	0	15	6	137	222	43	0	129	55	10	28	0	0	0	13	0	126	9	0	0	33	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ISF320	50497	1396	1050	162	104	1024	0	0	84	61	239	330	40	58	5	106	19	19	15	35	21	26	38	0	56	40	8	74	0	11	10	99	12	0	15	0	0	0	14	0	0	16	31	0	12	21	10	13	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0	0	3	0	0	0	5	0	0	4	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF322	45058	2731	483	343	76	1000	0	0	0	0	5	30	216	13	4	20	4	8	0	0	0	0	0	0	4	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF326	2	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	42	0	7	0	0	45	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF328	43597	12949	2208	231	88	563	0	0	124	79	57	329	79	422	18	639	275	323	115	144	23	53	130	0	118	54	0	29	222	0	30	45	39	62	106	0	0	0	21	0	0	0	0	0	0	38	5	5	0	0	0	0	0	0	2	0	0	0	26	69	0	0	0	16	7	0	0	4	0	0	7	11	6	0	0	0	3	0	0	21	3	0	15	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF331	51589	10663	1458	244	79	1372	0	0	69	122	41	306	65	117	27	550	196	224	114	51	13	7	27	0	14	31	0	63	195	5	9	3	14	0	12	0	0	0	19	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	7	0	0	0	0	0	0	0	5	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF333	60950	9562	2196	129	1126	644	0	0	98	24	44	293	149	146	19	118	95	54	0	45	12	12	61	0	63	88	0	28	305	22	0	39	9	10	96	0	0	0	12	0	17	0	0	0	9	21	6	6	0	0	0	0	0	0	0	0	19	0	0	0	0	2	0	19	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ISF334	3569	1320	6011	0	11950	38	0	0	178	10	16	0	0	3414	0	48	2	40	0	28	5	14	159	0	213	103	0	0	0	27	0	32	0	116	333	0	0	0	0	0	0	0	0	0	69	0	16	6	7	0	0	0	0	0	0	0	211	0	0	0	10	0	0	87	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	29	0	0	8	0	0	13	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
ISF337	36373	2883	451	13	0	215	0	0	28	12	0	70	41	17	0	5	12	8	0	10	0	0	13	0	17	27	0	8	0	0	0	14	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF393	59787	2112	2999	5417	0	2005	405	0	33	5	72	146	318	2	226	11	0	73	0	20	28	5	0	0	12	12	0	0	0	22	0	0	208	0	0	0	0	0	0	0	20	0	12	0	0	0	0	0	0	0	0	0	7	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
