feature	Cetobacterium	Aeromonas	Plesiomonas	Barnesiellaceae.Genus	Vibrio	ZOR0006	Mycoplasma	Staphylococcus	Mycobacterium	Acinetobacter	Gordonia	Crenobacter	Shewanella	Gammaproteobacteria.Genus	Paraclostridium	Pseudomonas	Flavobacterium	Burkholderiaceae.Genus	Paucibacter	Phreatobacter	Nocardia	Gemmataceae.Genus	Pseudorhodobacter	Bosea	Rhizobiales_Incertae_Sedis.Genus	Rhizobiales.Genus	Brevibacterium	Glutamicibacter	Chitinibacter	Chitinibacteraceae.Genus	Gemmobacter	Beijerinckiaceae.Genus	Citrobacter	Obscuribacterales.Genus	Rhodobacter	Exiguobacterium	Betaproteobacteriales_Incertae_Sedis.Genus	Fluviicola	Defluviimonas	Luteimonas	Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium	Pseudorhodoplanes	Pseudochrobactrum	Rhodococcus	Singulisphaera	Ensifer	Candidatus_Protochlamydia	Reyranella	Geobacillus	Tabrizicola	Microscillaceae.Genus	Shinella	Smaragdicoccus	Verrucomicrobiae.Genus	Simkaniaceae.Genus	Parachlamydiaceae.Genus	Fimbriiglobus	Chlamydiales.Genus	env.OPS_17.Genus	Unknown_Family.Genus	Meiothermus	PeM15.Genus	Delftia	Rhodopseudomonas	Mesorhizobium	Rhizobiaceae.Genus	Aquicella	SH.PL14	ASV131	Dinghuibacter	Deltaproteobacteria.Genus	ASV135	Pedosphaeraceae.Genus	Desulfarculaceae.Genus	Legionella	Enterococcus	Candidatus_Alysiosphaera	Pir4_lineage	Coxiella	Planctomycetales.Genus	Pirellula	Prevotella_7	Bacteria.Genus	Streptococcus	Candidatus_Ovatusbacter	ASV163	X67.14.Genus	ASV169	Thermus	Flavihumibacter	Proteobacteria.Genus	Faecalibaculum	Sphingomonadaceae.Genus	Brucella	Iamia	Clostridium_sensu_stricto_9	Gemmata	Saprospiraceae.Genus	Afipia	Deinococcus	Rubrivivax	Babeliaceae.Genus	Rhodovastum	Pedomicrobium	Nakamurella	Caedibacter	CL500.3	Chitinophagaceae.Genus	Candidatus_Finniella	Cellvibrio	Leucobacter	ASV246	Candidatus_Megaira	Cytophagales.Genus	Romboutsia	Vampirovibrionales.Genus	cvE6.Genus	Hydrogenophaga	Stenotrophomonas	Veillonella	Azospira	RCP2.54.Genus	Prevotella_6	IMCC26207	Ottowia	Chryseobacterium	Fusobacterium	Roseomonas	Xylophilus	Ideonella	Bdellovibrio	ASV323	Lachnospiraceae_NK4A136_group	Verrucomicrobiaceae.Genus	Rickettsia	Gaiellales.Genus	Prevotella	Herpetosiphon	Leptotrichia	X0319.6G20.Genus	Haemophilus	Thermoanaerobacterium	ASV385	Paracoccus	Lactobacillus	Blfdi19.Genus	Candidatus_Paracaedibacter	Alloprevotella	Corynebacterium_1	Myxococcales.Genus	Hyphomicrobium	Rothia	Muribaculaceae.Genus	Gemella	Babeliales.Genus	Paracaedibacteraceae.Genus	Lacunisphaera	Scardovia
ISF319	0.854410018766037	0.099708934931638	0.0147255945769982	0.00409788977825438	0.000497874459040251	0.00993834016314963	0	0	0	0.000287235264830914	0.000114894105932366	0.00262341541878902	0.00425108191949753	0.000823407759181954	0	0.00247022327754586	0.00105319597104669	0.000191490176553943	0.00053617249435104	0	0	0	0.000248937229520126	0	0.00241277622457968	0.000172341158898549	0	0	0.000631917582628011	0	0	0.00013404312358776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013404312358776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013404312358776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000344682317797097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.74470529661828e-05	0	0
ISF320	0.904477879276375	0.0250044778792764	0.0188070929607738	0.00290166577109081	0.00186279777897188	0.0183413935160308	0	0	0.0015045674368619	0.00109260254343543	0.00428085258821422	0.00591080064481462	0.000716460684219953	0.00103886799211893	8.95575855274942e-05	0.00189862081318288	0.000340318825004478	0.000340318825004478	0.000268672756582483	0.000626903098692459	0.000376141859215476	0.00046569944474297	0.000680637650008956	0	0.00100304495790793	0.000716460684219953	0.000143292136843991	0.00132545226580691	0	0.000197026688160487	0.000179115171054988	0.00177324019344438	0.000214938205265986	0	0.000268672756582483	0	0	0	0.000250761239476984	0	0	0.000286584273687981	0.000555257030270464	0	0.000214938205265986	0.000376141859215476	0.000179115171054988	0.000232849722371485	0	0	0	0	0	0	0	0	3.58230342109977e-05	3.58230342109977e-05	0	0	3.58230342109977e-05	0	0	0	0	0	0	5.37345513164965e-05	0	0	0	8.95575855274942e-05	0	0	7.16460684219953e-05	0	0	0	0.000197026688160487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000197026688160487	0	3.58230342109977e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000107469102632993	0	0.000107469102632993	0	0	8.95575855274942e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF322	0.901087912966963	0.05461563074954	0.00965922726181905	0.00685945124390049	0.00151987840972722	0.0199984001279898	0	0	0	0	9.99920006399488e-05	0.000599952003839693	0.00431965442764579	0.000259979201663867	7.9993600511959e-05	0.000399968002559795	7.9993600511959e-05	0.000159987201023918	0	0	0	0	0	0	7.9993600511959e-05	3.99968002559795e-05	0	0	0.000139988800895928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF326	0.00539083557951483	0.0619946091644205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.091644204851752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164420485175202	0	0	0	0	0	0	0	0	0	0.113207547169811	0	0.0188679245283019	0	0	0.121293800539084	0	0	0	0	0.291105121293801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0404312668463612	0	0	0	0	0	0	0	0	0	0	0.0566037735849057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0350404312668464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF328	0.687411308378796	0.204172053861436	0.0348144177099429	0.00364226924411088	0.00138753114061367	0.00887704582006244	0	0	0.00195515751631926	0.00124562454668727	0.000898741761533853	0.0051874743779761	0.00124562454668727	0.00665384251521554	0.000283813187852796	0.0100753681687742	0.00433603481441771	0.00509286998202517	0.00181325092239286	0.00227050550282236	0.000362650184478572	0.000835672164233231	0.00204976191227019	0	0.00186055312036833	0.000851439563558387	0	0.000457254580429504	0.00350036265018448	0	0.000473021979754659	0.000709532969631989	0.000614928573681057	0.000977578758159629	0.00167134432846646	0	0	0	0.000331115385828261	0	0	0	0	0	0	0.000599161174355902	7.88369966257766e-05	7.88369966257766e-05	0	0	0	0	0	0	3.15347986503106e-05	0	0	0	0.000409952382454038	0.00108795055343572	0	0	0	0.000252278389202485	0.000110371795276087	0	0	6.30695973006212e-05	0	0	0.000110371795276087	0.000173441392576708	9.46043959509318e-05	0	0	0	4.73021979754659e-05	0	0	0.000331115385828261	4.73021979754659e-05	0	0.00023651098987733	0	0	0	0	0	0	3.15347986503106e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73021979754659e-05	0	0	0	0	0	0	4.73021979754659e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.30695973006212e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF331	0.761382587776909	0.157371194120165	0.0215180719335272	0.00360110394497985	0.00116593119530085	0.020248830379149	0	0	0.00101834496804758	0.00180055197248993	0.000605103531738418	0.00451613855395015	0.000959310477146273	0.00172675885886329	0.000398482813583836	0.00811724249893	0.00289269005416415	0.00330593149047331	0.00168248299068731	0.000752689758991691	0.000191862095429255	0.000103310359077291	0.000398482813583836	0	0.000206620718154582	0.000457517304485145	0	0.000929793231695618	0.00287793143143882	7.37931136266364e-05	0.000132827604527945	4.42758681759818e-05	0.000206620718154582	0	0.000177103472703927	0	0	0	0.000280413831781218	0	0	0	0	0	0.000118068981802618	0	0.000118068981802618	0	0	0	0	0	0	0	0	0	0	0	0	0.000177103472703927	0	0	0	0.000103310359077291	0	0	0	0	0	0	0	7.37931136266364e-05	0	0	8.85517363519636e-05	0	0	0	0	0	0	0	4.42758681759818e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.42758681759818e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.95172454506545e-05	0	0	0	0	5.90344909013091e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF333	0.795962075900436	0.124872672186382	0.0286781414056991	0.00168464491864079	0.0147047300650351	0.00841016533026876	0	0	0.00127980776764959	0.000313422310444798	0.000574607569148797	0.00382636404001358	0.00194583017734479	0.00190665238853919	0.000248125995768799	0.00154099302635359	0.00124062997884399	0.000705200198500797	0	0.000587666832083997	0.000156711155222399	0.000156711155222399	0.000796615039047196	0	0.000822733564917596	0.00114921513829759	0	0.000365659362185598	0.00398307519523598	0.000287303784574399	0	0.000509311254472798	0.000117533366416799	0.000130592629351999	0.00125368924177919	0	0	0	0.000156711155222399	0	0.000222007469898399	0	0	0	0.000117533366416799	0.000274244521639199	7.83555776111996e-05	7.83555776111996e-05	0	0	0	0	0	0	0	0	0.000248125995768799	0	0	0	0	2.61185258703999e-05	0	0.000248125995768799	0	0	0	0	0	0	0	0	0	5.22370517407997e-05	0	0	0	0	0	0	3.91777888055998e-05	0	0	0	0	0	0.000117533366416799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.91777888055998e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.91777888055998e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.61185258703999e-05	0	0	0	0	0	0	0	0	0	0	0	2.61185258703999e-05	0	0	0
ISF334	0.126663590871988	0.0468467189551762	0.213330020939064	0	0.424104766298754	0.00134861766689144	0	0	0.00631720907122831	0.000354899386024062	0.000567839017638499	0	0	0.121162650388615	0	0.0017035170529155	7.09798772048124e-05	0.00141959754409625	0	0.000993718280867374	0.000177449693012031	0.000496859140433687	0.00564290023778259	0	0.00755935692231252	0.00365546367604784	0	0	0	0.000958228342264968	0	0.001135678035277	0	0.00411683287787912	0.0118181495546013	0	0	0	0	0	0	0	0	0	0.00244880576356603	0	0.000567839017638499	0.000212939631614437	0.000248429570216844	0	0	0	0	0	0	0	0.00748837704510771	0	0	0	0.000354899386024062	0	0	0.00308762465840934	0.000816268587855343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000390389324626468	0	0	0	0	0	0	0	0.000106469815807219	0	0	0	0	0	0	0	0	0	0.00102920821946978	0	0	0.00028391950881925	0	0	0.000461369201831281	0	0	0	0	0	0	0.00159704723710828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000461369201831281	0	0	0	0	0	0	0	0	0	0	0
ISF337	0.904103800551813	0.0716611568193681	0.0112102607442022	0.000323133901717581	0	0.00534413760532922	0	0	0.000695980711391713	0.000298277447739305	0	0.00173995177847928	0.00101911461310929	0.000422559717630683	0	0.000124282269891377	0.000298277447739305	0.000198851631826204	0	0.000248564539782755	0	0	0.000323133901717581	0	0.000422559717630683	0.000671124257413437	0	0.000198851631826204	0	0	0	0.000347990355695856	0	0	0	0	0	0	0	0	0.000198851631826204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.45693619348264e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.45693619348264e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF393	0.807692307692308	0.0285320580367999	0.0405149820323688	0.0731809462051822	0	0.0270865418389128	0.00547134635648861	0	0.000445813406824998	6.75474858825754e-05	0.000972683796709087	0.0019723865877712	0.0042960201021318	2.70189943530302e-05	0.00305314636189241	0.000148604468941666	0	0.000986193293885602	0	0.000270189943530302	0.000378265920942422	6.75474858825754e-05	0	0	0.000162113966118181	0.000162113966118181	0	0	0	0.000297208937883332	0	0	0.00280997541271514	0	0	0	0	0	0	0	0.000270189943530302	0	0.000162113966118181	0	0	0	0	0	0	0	0	0	9.45664802356056e-05	0.00068898435600227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121585474588636	0	0	0	0	2.70189943530302e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.05284915295453e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
